amdkf-4zwsi-cbaot-qzv7f-pa56j-p6igt-u7er3-g5a3n-w23je-wfh2r-4ae,LenGte(6),1
svflx-7jple-xv5mr-y6rcx-rkh2k-trcha-ptfvb-kglx5-l3efx-3vczg-jae,LenGte(6),1
zynof-mehr3-jb53i-ia2z2-wdycd-k3aml-de2ar-yingx-fgwet-wjecq-bqe,LenGte(6),1
l4cj6-j7ynq-nt236-5otsd-c67w7-tapr7-uikjq-q5g5u-uxaes-vfppq-xqe,LenGte(6),1
3nowh-vgeij-tejr4-o6pvi-bhous-3tq5s-ekexo-bcw5f-6ogwn-dq7jt-5qe,LenGte(6),1
dhj3y-lxjfo-oegwu-xjhdk-i7zc7-ybk46-o4g2u-gnjjg-xcvlr-wrgxx-tae,LenGte(6),1
xoksy-2sucu-yel24-5jofe-nlb6e-ucpvg-ceoi4-74cg7-pmccx-dxnnu-jqe,LenGte(6),1
y7m57-5cwe3-3y7wz-4qlck-ell26-bhxvx-h5hvv-etk5x-uif25-r23eq-vqe,LenGte(6),1
ic4kd-xqvbq-xrajn-3avq3-qs5os-6n3st-6iomk-7lfnc-frgyt-dr2lx-zqe,LenGte(6),1
kyezz-fvv2v-2tqhb-loit5-2zerx-z6j5z-aoo6e-pm24u-ta5h6-wutqz-4ae,LenGte(6),1
a4qib-afp57-suvf6-6ud3l-k64m3-npyxw-mkoop-ftyn2-tzh3q-5rke7-vae,LenGte(6),1